method,frac_removed,prob,example_idx
ATTN,0.0,0.8331823348999023,0
ATTN,0.05,0.8307337164878845,0
ATTN,0.1,0.8544119596481323,0
ATTN,0.2,0.8260162472724915,0
ATTN,0.3,0.8179571032524109,0
ATTN,0.5,0.8879575729370117,0
ATTN,0.0,0.8532183170318604,1
ATTN,0.05,0.8421773910522461,1
ATTN,0.1,0.8638467192649841,1
ATTN,0.2,0.8986561298370361,1
ATTN,0.3,0.8920980095863342,1
ATTN,0.5,0.9112843871116638,1
ATTN,0.0,0.6460037231445312,2
ATTN,0.05,0.5326984524726868,2
ATTN,0.1,0.5846083164215088,2
ATTN,0.2,0.6791432499885559,2
ATTN,0.3,0.6776236295700073,2
ATTN,0.5,0.6290451884269714,2
ATTN,0.0,0.8492088913917542,3
ATTN,0.05,0.8522606492042542,3
ATTN,0.1,0.9133766293525696,3
ATTN,0.2,0.9082047939300537,3
ATTN,0.3,0.9287582635879517,3
ATTN,0.5,0.866278350353241,3
ATTN,0.0,0.9369283318519592,4
ATTN,0.05,0.9334945678710938,4
ATTN,0.1,0.930625319480896,4
ATTN,0.2,0.9437204003334045,4
ATTN,0.3,0.9520587921142578,4
ATTN,0.5,0.9529224634170532,4
ATTN,0.0,0.9312412142753601,5
ATTN,0.05,0.9405047297477722,5
ATTN,0.1,0.9417521953582764,5
ATTN,0.2,0.9379147291183472,5
ATTN,0.3,0.9403067231178284,5
ATTN,0.5,0.9399814605712891,5
ATTN,0.0,0.8511902093887329,6
ATTN,0.05,0.7869778871536255,6
ATTN,0.1,0.13620664179325104,6
ATTN,0.2,0.8224549889564514,6
ATTN,0.3,0.8049551844596863,6
ATTN,0.5,0.6544850468635559,6
ATTN,0.0,0.9513010382652283,7
ATTN,0.05,0.9513854384422302,7
ATTN,0.1,0.9486802220344543,7
ATTN,0.2,0.9491244554519653,7
ATTN,0.3,0.9427399039268494,7
ATTN,0.5,0.9377284049987793,7
ATTN,0.0,0.7092938423156738,8
ATTN,0.05,0.6760318279266357,8
ATTN,0.1,0.7453641295433044,8
ATTN,0.2,0.7297435998916626,8
ATTN,0.3,0.808411180973053,8
ATTN,0.5,0.1664174497127533,8
ATTN,0.0,0.9547447562217712,9
ATTN,0.05,0.9577313661575317,9
ATTN,0.1,0.9237784147262573,9
ATTN,0.2,0.8782619833946228,9
ATTN,0.3,0.4535970091819763,9
ATTN,0.5,0.2049105018377304,9
ATTN,0.0,0.9094365239143372,10
ATTN,0.05,0.9012360572814941,10
ATTN,0.1,0.9179760217666626,10
