class,rank,dim,coef,sign
0,1,216,0.20598669418111673,top
0,2,403,0.20533474418778358,top
0,3,141,0.17484781537147662,top
0,4,485,0.17035923500809838,top
0,5,150,0.16353703788472934,top
0,6,104,0.1634413024964107,top
0,7,600,0.15832697352334726,top
0,8,382,0.1542863681668312,top
0,9,80,0.1476813538694962,top
0,10,427,0.1465480237179204,top
0,11,46,0.14573796972614286,top
0,12,56,0.14540390909518974,top
0,13,202,0.1435091138231799,top
0,14,304,0.14022454067685552,top
0,15,518,0.13074476252912992,top
0,16,111,0.1291332978766632,top
0,17,411,0.12901752873926786,top
0,18,506,0.12816045909450416,top
0,19,180,0.12722063945866913,top
0,20,435,0.12616952490620065,top
0,1,451,-0.2438992562899857,bottom
0,2,297,-0.18464654361598093,bottom
0,3,355,-0.17089365816483512,bottom
0,4,66,-0.16756529983277613,bottom
0,5,537,-0.1646271608614766,bottom
0,6,395,-0.16325672397239882,bottom
0,7,172,-0.15999699089286082,bottom
0,8,121,-0.14983391214722222,bottom
0,9,688,-0.14972381494879447,bottom
0,10,11,-0.14715643694239444,bottom
0,11,41,-0.14339478591078536,bottom
0,12,714,-0.14179326664445138,bottom
0,13,491,-0.13856527027943433,bottom
0,14,327,-0.13331909871732567,bottom
0,15,182,-0.1311068479855073,bottom
0,16,93,-0.1261713470356985,bottom
0,17,717,-0.1256272485272514,bottom
0,18,4,-0.12542615406023852,bottom
0,19,23,-0.12501234609716325,bottom
0,20,526,-0.12447473153586479,bottom
1,1,205,0.1596306487115484,top
1,2,537,0.14490201973904168,top
1,3,207,0.1403563871037422,top
1,4,451,0.1262589706749037,top
1,5,625,0.12565124037981568,top
1,6,404,0.11713594248584051,top
1,7,389,0.11689487806997181,top
1,8,589,0.11570054422023313,top
1,9,69,0.10779336377389981,top
1,10,678,0.10761346802463147,top
1,11,620,0.1069379697690595,top
1,12,659,0.1057934845783993,top
1,13,402,0.10510540950139227,top
1,14,663,0.10360314297177829,top
1,15,487,0.10062147072713398,top
1,16,430,0.10048936890563033,top
1,17,103,0.09986861805047313,top
1,18,486,0.0990645174185429,top
1,19,93,0.097807478068741,top
1,20,498,0.09768100374268421,top
1,1,739,-0.13974455573412928,bottom
1,2,111,-0.13431520336596087,bottom
1,3,497,-0.13324257708463508,bottom
1,4,733,-0.12910028567664164,bottom
1,5,288,-0.12775862045861894,bottom
1,6,648,-0.12705682105231264,bottom
1,7,403,-0.12155335595534723,bottom
1,8,413,-0.12050614616638104,bottom
1,9,692,-0.11961857632763867,bottom
1,10,544,-0.1187494804996705,bottom
1,11,434,-0.11694361323338999,bottom
1,12,90,-0.11422865632569269,bottom
1,13,12,-0.11378675811371322,bottom
1,14,27,-0.11296573175795506,bottom
1,15,697,-0.11134578846691183,bottom
1,16,748,-0.10948366734522083,bottom
1,17,35,-0.10620972143151854,bottom
1,18,536,-0.10613804536079095,bottom
1,19,265,-0.1039303980620772,bottom
1,20,123,-0.10328704337842885,bottom
2,1,41,0.23787081711090002,top
2,2,648,0.19697350740204722,top
2,3,37,0.17897496591576303,top
2,4,255,0.17891098128281457,top
2,5,738,0.17122462591979407,top
2,6,327,0.17098556593455944,top
2,7,437,0.16423000999625773,top
2,8,717,0.16403572737433944,top
2,9,395,0.1619036562823298,top
2,10,27,0.15778332956991623,top
2,11,650,0.15439074781203205,top
2,12,11,0.1512642807914652,top
2,13,697,0.15102077767686972,top
2,14,238,0.1442684664279813,top
2,15,297,0.141479478451304,top
2,16,341,0.13882284323605312,top
2,17,57,0.1377521824658198,top
2,18,121,0.13698315981814074,top
2,19,707,0.1353331041761712,top
2,20,688,0.1305415433851769,top
2,1,498,-0.2182382563512751,bottom
2,2,485,-0.2157135805757263,bottom
2,3,384,-0.20065033811071875,bottom
2,4,735,-0.2001737901637817,bottom
2,5,518,-0.19632220091704453,bottom
2,6,104,-0.19541017526754995,bottom
2,7,382,-0.19180081430891777,bottom
2,8,216,-0.1869954676381675,bottom
2,9,506,-0.18245452071382753,bottom
2,10,150,-0.18091146947082729,bottom
2,11,520,-0.17221313360446547,bottom
2,12,641,-0.1683069916975245,bottom
2,13,439,-0.165525128333478,bottom
2,14,360,-0.154677319490924,bottom
2,15,60,-0.1497012372147659,bottom
2,16,356,-0.14953506715661677,bottom
2,17,181,-0.14713331852807945,bottom
2,18,435,-0.14632963591756953,bottom
2,19,663,-0.14410084001866452,bottom
2,20,277,-0.14399894155450957,bottom
