class,rank,token,mean_abs_shap
0,1,000 as,0.00039230246241354775
0,2,000,0.00033812425967690837
0,3,000 and,0.00033413372328008434
1,1,000 and,0.00035402191811271426
1,2,000 as,0.0003498706298353806
1,3,000,0.0003028860363083463
2,1,000 as,0.000509756045132545
2,2,000 and,0.00040230654451875046
2,3,000,0.00032579320032549204
3,1,000 as,0.0003848211290781443
3,2,000 and,0.0003614628761667235
3,3,000,0.0002815885521777416
4,1,000 as,0.00039773412679162604
4,2,000 and,0.00037395133595437795
4,3,000,0.0003594664641678952
5,1,000 as,0.00041267205893330387
5,2,000 and,0.0003262460875467674
5,3,000,0.0003091041060111375
6,1,000,0.0003842671967980847
6,2,000 as,0.0003770072507846644
6,3,000 and,0.00035942540064013166
7,1,000,0.0003780366154012913
7,2,000 as,0.0003728822633818893
7,3,000 and,0.0003547742492852701
8,1,000 as,0.0003731144252317119
8,2,000 and,0.00032314549807800397
8,3,000,0.00027915899682130687
9,1,000 as,0.0003829580898765829
9,2,000,0.00036551706490990096
9,3,000 and,0.00035754401583262856
10,1,000 as,0.0003477026199420484
10,2,000 and,0.00030948120921604104
10,3,000,0.0003017535146637226
11,1,000 as,0.00044613319122111694
11,2,000,0.0004076979945155144
11,3,000 and,0.000385564258252014
12,1,000 as,0.0003821627734178912
12,2,000 and,0.00034549761043195217
12,3,000,0.0003443432746168982
13,1,000,0.0003120983080827773
13,2,000 as,0.00030943528247716345
13,3,000 and,0.00029104889896228723
14,1,000 as,0.0003541996342639805
14,2,000 and,0.00029531551727055895
14,3,000,0.0002706377050038441
15,1,000 and,0.0003434027717252747
15,2,000 as,0.00032122068908287777
15,3,000,0.00028164560836873166
16,1,000 as,0.0004504812637199931
16,2,000,0.00039613760830755593
16,3,000 and,0.00037098486542703113
17,1,000 as,0.00041838551800977934
17,2,000,0.00035386673636750624
17,3,000 and,0.0003439272609284455
18,1,000 as,0.00037064529840774915
18,2,000,0.0003332747888569382
18,3,000 and,0.0003195298407967445
19,1,000 as,0.00038266413875023126
19,2,000 and,0.00037919340871723784
19,3,000,0.0003706721832923925
20,1,000 as,0.00040137298622643753
20,2,000,0.0003930022012407585
20,3,000 and,0.0003267330245720344
21,1,000 as,0.0003135595390486655
21,2,000 and,0.0002911469876890742
21,3,000,0.00027082952625380225
22,1,000 and,0.0003642591267365505
22,2,000 as,0.0003517591326995521
22,3,000,0.0003181652958674263
23,1,000 as,0.00045031465048333094
23,2,000 and,0.0003542611241491924
23,3,000,0.00034166566677594674
24,1,000 as,0.0003929419989701814
24,2,000 and,0.00037207090934053734
24,3,000,0.0002819657909452431
25,1,000 as,0.00034709936956994384
25,2,000 and,0.00030727351778180473
25,3,000,0.0002847042800828609
26,1,000 as,0.0004069975709374697
26,2,000 and,0.0003991906468845501
26,3,000,0.0003843785748441924
27,1,000,0.0003406851801221454
27,2,000 as,0.0003290989159634102
27,3,000 and,0.00032825282733151993
28,1,000 as,0.00035667125036638726
28,2,000,0.00034570755946642415
28,3,000 and,0.00032128247419350216
29,1,000 as,0.0003579892468254694
29,2,000 and,0.0003387489676094525
29,3,000,0.0003124633376991082
30,1,000,0.00038638407388234125
30,2,000 as,0.0003802686297185111
30,3,000 and,0.00035542806551802007
31,1,000 as,0.0004036678570809744
31,2,000,0.0003687595855974533
31,3,000 and,0.0003104601070993329
32,1,000 as,0.0004558005420060713
32,2,000,0.0004301960174143475
32,3,000 and,0.0003742627563227058
33,1,000 as,0.0003862680446499916
33,2,000,0.0003413015475217288
33,3,000 and,0.00031447731716652684
34,1,000 as,0.00037710794364364256
34,2,000,0.00035568607518351807
34,3,000 and,0.00029003954224440586
35,1,000,0.0004889818268573637
35,2,000 as,0.0004850892440656735
35,3,000 and,0.0004028872676087123
36,1,000 as,0.0004013615209051143
36,2,000 and,0.000337741601294265
36,3,000,0.00032907320274346225
37,1,000 as,0.0003781544217294553
37,2,000 and,0.0003329325400529704
37,3,000,0.00032448597751618145
38,1,000 as,0.0005366979480239924
38,2,000 and,0.00044232062637496547
38,3,000,0.0004075912346266709
39,1,000 as,0.0003943259839836052
39,2,000 and,0.0003347875261236016
39,3,000,0.0003152873893838981
40,1,000 as,0.0003894991118348606
40,2,000 and,0.00034370893159469285
40,3,000,0.0003193429908529542
41,1,000 and,0.00038300709981051856
41,2,000 as,0.00035217801205514814
41,3,000,0.00034922157494078756
42,1,000 as,0.00039090247537700343
42,2,000,0.00037608919553294815
42,3,000 and,0.0003543389559052221
43,1,000,0.0005134506388908257
43,2,000 as,0.0005093093428390001
43,3,000 and,0.0004109417885611449
44,1,000 as,0.0005001701351606281
44,2,000 and,0.00040884796430451883
44,3,000,0.0003227544577086545
45,1,000 as,0.00037532505741409505
45,2,000 and,0.00033441909863973237
45,3,000,0.0002962766460084881
46,1,000 and,0.00035262834112466705
46,2,000 as,0.0003208563334568247
46,3,000,0.00027356285533890916
47,1,000 as,0.00038380797529289
47,2,000 and,0.0003587846541296461
47,3,000,0.000291329079062673
48,1,000 as,0.0003889098421039384
48,2,000 and,0.00037036137081330794
48,3,000,0.0003343362149993021
49,1,000 as,0.00033959115761336174
49,2,000 and,0.00031247463928124906
49,3,000,0.00029594516933123874
50,1,000 as,0.00038219035246769785
