token,direction,mean_impact_Q1,rank_Q1,window_Q1,mean_impact_Q2,rank_Q2,window_Q2,entered_Q2,exited_in_Q2,delta_rank,delta_impact
ces,neg,-0.012893519285630612,1,Q1,,31,,False,True,-30,0.012893519285630612
innovation,neg,-0.012763663426520777,2,Q1,,31,,False,True,-29,0.012763663426520777
chair,neg,-0.010648816251583416,3,Q1,,31,,False,True,-28,0.010648816251583416
buy signals,neg,-0.009459451392127078,4,Q1,,31,,False,True,-27,0.009459451392127078
additional,neg,-0.009401101610183699,5,Q1,,31,,False,True,-26,0.009401101610183699
administration,neg,-0.009218977701265868,6,Q1,,31,,False,True,-25,0.009218977701265868
consider,neg,-0.009138447178649705,7,Q1,,31,,False,True,-24,0.009138447178649705
auto tariffs,neg,-0.009057049911876256,8,Q1,,31,,False,True,-23,0.009057049911876256
revolution,neg,-0.009018836839665754,9,Q1,,31,,False,True,-22,0.009018836839665754
significant downturn,neg,-0.008519633992784617,10,Q1,,31,,False,True,-21,0.008519633992784617
corporation stock,neg,-0.0080986586960768,11,Q1,,31,,False,True,-20,0.0080986586960768
new year,neg,-0.00809146532833888,12,Q1,,31,,False,True,-19,0.00809146532833888
new york,neg,-0.007958670308210737,13,Q1,,31,,False,True,-18,0.007958670308210737
buying opportunity,neg,-0.007899419274410934,14,Q1,,31,,False,True,-17,0.007899419274410934
auto,neg,-0.0077849370771518565,16,Q1,,31,,False,True,-15,0.0077849370771518565
rigetti,neg,-0.007487518896962998,17,Q1,,31,,False,True,-14,0.007487518896962998
consecutive day,neg,-0.007407830370258735,18,Q1,,31,,False,True,-13,0.007407830370258735
taiwan,neg,-0.007204618436230186,19,Q1,,31,,False,True,-12,0.007204618436230186
stocks tumble,neg,-0.006991362015208134,20,Q1,,31,,False,True,-11,0.006991362015208134
sensex,neg,-0.006615690801124382,21,Q1,,31,,False,True,-10,0.006615690801124382
stocks watch,neg,-0.006551148651147379,22,Q1,,31,,False,True,-9,0.006551148651147379
ride,neg,-0.006500556941155523,23,Q1,,31,,False,True,-8,0.006500556941155523
sentiment,neg,-0.006051098881418285,24,Q1,,31,,False,True,-7,0.006051098881418285
driving markets,neg,-0.005956460717144406,25,Q1,,31,,False,True,-6,0.005956460717144406
leadership,neg,-0.005924281210944818,26,Q1,,31,,False,True,-5,0.005924281210944818
dropping,neg,-0.005698609243988167,27,Q1,,31,,False,True,-4,0.005698609243988167
