token,direction,mean_impact,rank,window
concerns,pos,0.02729299094279576,1,Q2
confidence,pos,0.024796983158996037,2,Q2
apple nvidia,pos,0.01831653276136427,3,Q2
ceo jensen,pos,0.015993271397957923,4,Q2
apple stock,pos,0.012932383397997127,5,Q2
ceo,pos,0.01191023199747556,6,Q2
new,pos,0.010919481304984224,7,Q2
performance,pos,0.010189017925658591,8,Q2
crude oil,pos,0.009931651422085793,9,Q2
corporation read,pos,0.009568198141232692,10,Q2
crude,pos,0.008561850118652292,11,Q2
new ceo,pos,0.008179639507309077,12,Q2
buy stock,pos,0.008108203678128898,13,Q2
jumped,pos,0.007370080835663882,14,Q2
network,pos,0.007151188010583912,15,Q2
wave,pos,0.006989755446826265,16,Q2
did,pos,0.006725525372523742,17,Q2
jump,pos,0.006691200287600202,18,Q2
apple nasdaq,pos,0.006254948359120284,19,Q2
current,pos,0.006014818800226112,20,Q2
stock picks,pos,0.005501299921752629,21,Q2
buy rating,pos,0.005500013084375559,22,Q2
buying,pos,0.0054567602051033455,23,Q2
corporation nvidia,pos,0.0052413420133591605,24,Q2
peak,pos,0.005237749116768035,25,Q2
reports,pos,0.005016893504873271,26,Q2
10 tech,pos,0.0050040414659295925,27,Q2
buyers,pos,0.004976060380355497,28,Q2
reportedly,pos,0.004817519990183285,29,Q2
push,pos,0.004749773665521923,30,Q2
confidence,neg,-0.028249912226844007,1,Q2
concerns,neg,-0.023957024408877182,2,Q2
apple nvidia,neg,-0.01918733175711741,3,Q2
ceo jensen,neg,-0.016060887455478057,4,Q2
new,neg,-0.015330827517892843,5,Q2
crude oil,neg,-0.014576668918878315,6,Q2
apple stock,neg,-0.012345459347366966,7,Q2
ceo,neg,-0.011860090127416916,8,Q2
peak,neg,-0.008841936110102328,9,Q2
buy stock,neg,-0.008121487722880641,10,Q2
jump,neg,-0.007722866466942779,11,Q2
corporation nvidia,neg,-0.007499697789311814,12,Q2
watching advanced,neg,-0.0070145214650607045,13,Q2
ceasefire,neg,-0.0067320563647395824,14,Q2
corporation read,neg,-0.0066869626375159,15,Q2
jumped,neg,-0.006385541847488803,16,Q2
buying,neg,-0.00637853499311338,17,Q2
war escalation,neg,-0.006145783075756933,18,Q2
reports,neg,-0.0061169039928797245,19,Q2
performance,neg,-0.00603572780625247,20,Q2
apple nasdaq,neg,-0.005971073413997175,21,Q2
digested,neg,-0.0058452670766432685,22,Q2
crude,neg,-0.0058335214567760965,23,Q2
new ceo,neg,-0.005826001276012508,24,Q2
buy rating,neg,-0.0054910168976619825,25,Q2
software,neg,-0.005319059940582513,26,Q2
network,neg,-0.0050934800289717174,27,Q2
did,neg,-0.005027630509677199,28,Q2
previous,neg,-0.0048196358642699135,29,Q2
deal,neg,-0.004705691750009886,30,Q2
