Positive token,Mean SHAP (+),Negative token,Mean SHAP (–)
100 movers,"[0.0, 0.0, 0.0]",10,"[-0.0011171408541456982, -0.0010599565480534066, -0.00044316961240912985]"
100,"[0.000117266558556951, 0.0009496898767263026, 0.0015319535019446637]",100,"[-6.752698818506756e-05, -0.0016492200605016149, -0.0008821628885412366]"
10,"[0.00022740502048188864, 0.0002157645919272416, 0.002177097402199106]",100 movers,"[0.0, 0.0, 0.0]"
100 movers,"[0.0, 0.0, 0.0]",100,"[-6.752698818506756e-05, -0.0016492200605016149, -0.0008821628885412366]"
100,"[0.000117266558556951, 0.0009496898767263026, 0.0015319535019446637]",100 movers,"[0.0, 0.0, 0.0]"
10,"[0.00022740502048188864, 0.0002157645919272416, 0.002177097402199106]",10,"[-0.0011171408541456982, -0.0010599565480534066, -0.00044316961240912985]"
100 movers,"[0.0, 0.0, 0.0]",10,"[-0.0011171408541456982, -0.0010599565480534066, -0.00044316961240912985]"
100,"[0.000117266558556951, 0.0009496898767263026, 0.0015319535019446637]",100,"[-6.752698818506756e-05, -0.0016492200605016149, -0.0008821628885412366]"
10,"[0.00022740502048188864, 0.0002157645919272416, 0.002177097402199106]",100 movers,"[0.0, 0.0, 0.0]"
100,"[0.000117266558556951, 0.0009496898767263026, 0.0015319535019446637]",10,"[-0.0011171408541456982, -0.0010599565480534066, -0.00044316961240912985]"
10,"[0.00022740502048188864, 0.0002157645919272416, 0.002177097402199106]",100,"[-6.752698818506756e-05, -0.0016492200605016149, -0.0008821628885412366]"
100 movers,"[0.0, 0.0, 0.0]",100 movers,"[0.0, 0.0, 0.0]"
100 movers,"[0.0, 0.0, 0.0]",10,"[-0.0011171408541456982, -0.0010599565480534066, -0.00044316961240912985]"
100,"[0.000117266558556951, 0.0009496898767263026, 0.0015319535019446637]",100,"[-6.752698818506756e-05, -0.0016492200605016149, -0.0008821628885412366]"
10,"[0.00022740502048188864, 0.0002157645919272416, 0.002177097402199106]",100 movers,"[0.0, 0.0, 0.0]"
10,"[0.00022740502048188864, 0.0002157645919272416, 0.002177097402199106]",100 movers,"[0.0, 0.0, 0.0]"
100,"[0.000117266558556951, 0.0009496898767263026, 0.0015319535019446637]",10,"[-0.0011171408541456982, -0.0010599565480534066, -0.00044316961240912985]"
100 movers,"[0.0, 0.0, 0.0]",100,"[-6.752698818506756e-05, -0.0016492200605016149, -0.0008821628885412366]"
100,"[0.000117266558556951, 0.0009496898767263026, 0.0015319535019446637]",100 movers,"[0.0, 0.0, 0.0]"
10,"[0.00022740502048188864, 0.0002157645919272416, 0.002177097402199106]",10,"[-0.0011171408541456982, -0.0010599565480534066, -0.00044316961240912985]"
