Positive token,Mean SHAP (+),Negative token,Mean SHAP (–)
00,"[0.0, 0.0002513905981855233, 0.00018568458358512449]",00,"[-0.0004370751817706481, 0.0, 0.0]"
000,"[0.0032360578694569414, 0.0025916093160748025, 0.0003299957742117872]",000,"[-0.0029216050902865875, -0.0028705446022546585, -0.0003655132672023296]"
000 corresponding,"[0.00010391318884920249, 0.0, 0.0]",000 corresponding,"[0.0, -4.707994821678321e-05, -5.683324063241929e-05]"
00,"[0.0, 0.0002513905981855233, 0.00018568458358512449]",00,"[-0.0004370751817706481, 0.0, 0.0]"
000,"[0.0032360578694569414, 0.0025916093160748025, 0.0003299957742117872]",000,"[-0.0029216050902865875, -0.0028705446022546585, -0.0003655132672023296]"
000 corresponding,"[0.00010391318884920249, 0.0, 0.0]",000 corresponding,"[0.0, -4.707994821678321e-05, -5.683324063241929e-05]"
00,"[0.0, 0.0002513905981855233, 0.00018568458358512449]",000 corresponding,"[0.0, -4.707994821678321e-05, -5.683324063241929e-05]"
000 corresponding,"[0.00010391318884920249, 0.0, 0.0]",000,"[-0.0029216050902865875, -0.0028705446022546585, -0.0003655132672023296]"
000,"[0.0032360578694569414, 0.0025916093160748025, 0.0003299957742117872]",00,"[-0.0004370751817706481, 0.0, 0.0]"
00,"[0.0, 0.0002513905981855233, 0.00018568458358512449]",000 corresponding,"[0.0, -4.707994821678321e-05, -5.683324063241929e-05]"
000,"[0.0032360578694569414, 0.0025916093160748025, 0.0003299957742117872]",000,"[-0.0029216050902865875, -0.0028705446022546585, -0.0003655132672023296]"
000 corresponding,"[0.00010391318884920249, 0.0, 0.0]",00,"[-0.0004370751817706481, 0.0, 0.0]"
00,"[0.0, 0.0002513905981855233, 0.00018568458358512449]",00,"[-0.0004370751817706481, 0.0, 0.0]"
000,"[0.0032360578694569414, 0.0025916093160748025, 0.0003299957742117872]",000,"[-0.0029216050902865875, -0.0028705446022546585, -0.0003655132672023296]"
000 corresponding,"[0.00010391318884920249, 0.0, 0.0]",000 corresponding,"[0.0, -4.707994821678321e-05, -5.683324063241929e-05]"
000 corresponding,"[0.00010391318884920249, 0.0, 0.0]",000 corresponding,"[0.0, -4.707994821678321e-05, -5.683324063241929e-05]"
00,"[0.0, 0.0002513905981855233, 0.00018568458358512449]",000,"[-0.0029216050902865875, -0.0028705446022546585, -0.0003655132672023296]"
000,"[0.0032360578694569414, 0.0025916093160748025, 0.0003299957742117872]",00,"[-0.0004370751817706481, 0.0, 0.0]"
000 corresponding,"[0.00010391318884920249, 0.0, 0.0]",000,"[-0.0029216050902865875, -0.0028705446022546585, -0.0003655132672023296]"
00,"[0.0, 0.0002513905981855233, 0.00018568458358512449]",00,"[-0.0004370751817706481, 0.0, 0.0]"
