class,rank,token,mean_abs_shap
0,1,media,0.11454960880397624
0,2,cgi,0.10973289828967259
0,3,stocks,0.0654529459598764
0,4,investment,0.05903204916467949
0,5,canadian general,0.04587709593391079
0,6,general investments,0.04587709593391079
0,7,make,0.043718875805383174
0,8,unaudited,0.04052938120756166
0,9,limited,0.03854122004003229
0,10,ai,0.03830061939916316
0,11,great,0.03055958082027745
0,12,ai great,0.02999666804220175
0,13,general,0.029976978439372522
0,14,canadian,0.029279438320106488
0,15,tariff,0.0244400818835659
0,16,unaudited media,0.023624918957573363
0,17,update,0.02126786924723298
0,18,basis,0.020138866603282495
0,19,shares,0.019685626354501887
0,20,market,0.018226621530635295
0,21,losses,0.017366125976794343
0,22,investments,0.01705128589923315
0,23,nvidia,0.01687754565995005
0,24,futures,0.015888533403999004
0,25,america,0.015619137072268823
0,26,tariffs,0.01481620465248322
0,27,day,0.013926409202596432
0,28,2025,0.012767357714253373
0,29,trade,0.01247654311754338
0,30,uncertainty,0.012215936250930558
0,31,tsx cgi,0.01219254425440805
0,32,reports unaudited,0.01219254425440805
0,33,investments limited,0.01219254425440805
0,34,limited cgi,0.01219254425440805
0,35,cgi lse,0.01219254425440805
0,36,cgi reports,0.01219254425440805
0,37,newswire canadian,0.01219254425440805
0,38,lse,0.01219254425440805
0,39,cgi tsx,0.01219254425440805
0,40,toronto canada,0.01219254425440805
0,41,lse cgi,0.01219254425440805
0,42,unaudited toronto,0.01219254425440805
0,43,unaudited basis,0.01219254425440805
0,44,basis net,0.01219254425440805
0,45,lower,0.011147162786059593
0,46,war,0.010969776590676597
0,47,500,0.010666163233214529
0,48,buy,0.010174603797864926
0,49,trade war,0.009985896808642609
0,50,investors,0.009687139019426253
0,51,energy,0.00965706058646966
0,52,nasdaq,0.008501230828130967
0,53,ahead,0.008077067386501541
0,54,oil,0.007955639941298042
0,55,amid,0.00782348061228969
0,56,major,0.007791323011510994
0,57,trump,0.007726945705723665
0,58,trading,0.0069657993131986605
0,59,friday,0.00664946795402472
0,60,dollar,0.0065546409299668046
0,61,reports,0.00635580381179051
0,62,canada,0.0062841008352950605
0,63,trillion,0.006262531603817397
0,64,session,0.006205432179461752
0,65,drops,0.006051577171033283
0,66,stock,0.005974480251266849
0,67,economy,0.00585648931841953
0,68,law,0.005797233055200284
0,69,concerns,0.005510404180360694
0,70,sell,0.005465342929720529
0,71,falling,0.00545438968573132
0,72,stock market,0.005453057937576884
0,73,recently,0.005410097658539313
0,74,declines,0.005128471535292509
0,75,years,0.005097298010876634
0,76,dow,0.005091227903871444
0,77,2024,0.004904224668606539
0,78,worst,0.004876584873544103
0,79,gains,0.004801040519078406
0,80,company,0.004654906937430626
0,81,growth,0.004559557470479228
0,82,announces,0.004546539839482609
0,83,stocks buy,0.0045393815265756055
0,84,optimism,0.004506413873515106
0,85,markets,0.0044151268331376866
0,86,earnings,0.004345411208483597
0,87,fed,0.0041917393983910145
0,88,offering,0.003955430675439706
0,89,jim,0.003926727543319103
0,90,dividend,0.003924044820518903
0,91,know,0.003923318338790736
0,92,technologies,0.003917609758277769
0,93,billion,0.0038925400657344434
0,94,hold,0.0038182464142275997
0,95,march,0.0037403236457583724
