industry,ticker,model,side,window,n_events,car_mean,tstat
Communication Services,XLC,Market,POS,"[-1,+3]",0,,
Communication Services,XLC,Market,POS,"[-5,+5]",0,,
Communication Services,XLC,Market,NEG,"[-1,+3]",4,-0.0030187063775222412,-0.5810436464696572
Communication Services,XLC,Market,NEG,"[-5,+5]",4,0.0007249862924395096,0.1595334573529952
Consumer Cyclical,XLY,Market,POS,"[-1,+3]",0,,
Consumer Cyclical,XLY,Market,POS,"[-5,+5]",0,,
Consumer Cyclical,XLY,Market,NEG,"[-1,+3]",0,,
Consumer Cyclical,XLY,Market,NEG,"[-5,+5]",0,,
Energy,XLE,Market,POS,"[-1,+3]",0,,
Energy,XLE,Market,POS,"[-5,+5]",0,,
Energy,XLE,Market,NEG,"[-1,+3]",0,,
Energy,XLE,Market,NEG,"[-5,+5]",0,,
Financial Services,XLF,Market,POS,"[-1,+3]",0,,
Financial Services,XLF,Market,POS,"[-5,+5]",0,,
Financial Services,XLF,Market,NEG,"[-1,+3]",0,,
Financial Services,XLF,Market,NEG,"[-5,+5]",0,,
Healthcare,XLV,Market,POS,"[-1,+3]",0,,
Healthcare,XLV,Market,POS,"[-5,+5]",0,,
Healthcare,XLV,Market,NEG,"[-1,+3]",3,0.00339034967113775,0.40283521624585766
Healthcare,XLV,Market,NEG,"[-5,+5]",3,-0.00631246063535823,-1.713057501842859
Industrials,XLI,Market,POS,"[-1,+3]",0,,
Industrials,XLI,Market,POS,"[-5,+5]",0,,
Industrials,XLI,Market,NEG,"[-1,+3]",0,,
Industrials,XLI,Market,NEG,"[-5,+5]",0,,
Real Estate,XLRE,Market,POS,"[-1,+3]",0,,
Real Estate,XLRE,Market,POS,"[-5,+5]",0,,
Real Estate,XLRE,Market,NEG,"[-1,+3]",0,,
Real Estate,XLRE,Market,NEG,"[-5,+5]",0,,
Utilities,XLU,Market,POS,"[-1,+3]",0,,
Utilities,XLU,Market,POS,"[-5,+5]",0,,
Utilities,XLU,Market,NEG,"[-1,+3]",0,,
Utilities,XLU,Market,NEG,"[-5,+5]",0,,
Technology,XLK,Market,POS,"[-1,+3]",1,-0.004785799206304888,
Technology,XLK,Market,POS,"[-5,+5]",1,0.009999731019316251,
Technology,XLK,Market,NEG,"[-1,+3]",4,0.014799308305665837,1.5152087821934581
Technology,XLK,Market,NEG,"[-5,+5]",4,0.008359871198670233,0.8964256534167432
