class,rank,token,mean_abs_shap
0,1,fears,0.10708554874254585
0,2,tariffs,0.06453695939322486
0,3,futures,0.06314568176354839
0,4,war,0.05739911579019769
0,5,oil,0.04490060600420369
0,6,dollar,0.038427206659663066
0,7,tariff,0.03809600718361966
0,8,drops,0.03654422657222011
0,9,trump,0.035303646512475105
0,10,futures slide,0.033678815542711564
0,11,recession,0.03350586253948695
0,12,trade,0.028266059610896354
0,13,economy,0.02440977367602786
0,14,day,0.0236740432660056
0,15,long,0.023422138508259922
0,16,ahead,0.023192070176697478
0,17,stocks,0.02301248066054863
0,18,market,0.022342159175517604
0,19,dow,0.02116386218196589
0,20,markets,0.02101266318734773
0,21,shares,0.019685626354501887
0,22,accenture,0.019613690930304236
0,23,cost,0.018998739930858953
0,24,trump tariffs,0.018602806804442713
0,25,500,0.018434361798679837
0,26,flat,0.018305407480591514
0,27,announced,0.018250809969425578
0,28,nasdaq,0.017685588334815396
0,29,losses,0.017366125976794346
0,30,tensions,0.017126060812838875
0,31,nvidia,0.01687754565995005
0,32,investors,0.016772160119052283
0,33,costco,0.016306920951183693
0,34,firm,0.015772794113013962
0,35,risk,0.014996620636621832
0,36,plunge,0.014112116541279833
0,37,economic,0.014009838507039973
0,38,amid,0.013880531861455686
0,39,profit,0.013054413016478594
0,40,indexes,0.012444638916090388
0,41,uncertainty,0.012215936250930558
0,42,optimism,0.011970433453779895
0,43,sharply,0.011888500415314746
0,44,company,0.011673849499742124
0,45,2025,0.011601900737008704
0,46,concerns,0.011530323857128641
0,47,rate,0.011445084330215082
0,48,tariffs zerohedge,0.011257683562535559
0,49,lower,0.011147162786059593
0,50,trump tariff,0.010715455259539323
0,51,trade tensions,0.01070265133426517
0,52,zero,0.010376812972851597
0,53,corp,0.010346601483687145
0,54,flat ahead,0.010316850936252793
0,55,winning,0.01024476770055919
0,56,buy,0.010174603797864926
0,57,trade war,0.009985896808642607
0,58,ai,0.00973171361976202
0,59,energy,0.00965706058646966
0,60,tumble trump,0.009589712086831322
0,61,await,0.009529318936349285
0,62,tumble,0.00937527529786553
0,63,reportedly,0.009249146304457724
0,64,winning streak,0.009168456053969052
0,65,ppi,0.008889552363937504
0,66,dropped,0.008641120711081961
0,67,year,0.008618464102740784
0,68,points,0.008541212501684964
0,69,tariff fears,0.008412668334319293
0,70,jones,0.008404368312454627
0,71,look,0.00831648633100798
0,72,dow jones,0.008180397298299889
0,73,stock market,0.008148233959596815
0,74,near,0.007904890026778555
0,75,nyse,0.007849188997672335
0,76,major,0.007791323011510995
0,77,slowdown,0.007759809083643325
0,78,indexes fell,0.007611393850976932
0,79,stayed,0.00756903499253941
0,80,futures flat,0.007325003060123034
0,81,morgan,0.007143424021051922
0,82,loss,0.0071425790841769705
0,83,trading,0.006965799313198661
0,84,high,0.006888406489868578
0,85,streak,0.006746948735665637
0,86,748,0.00672437698898233
0,87,tell,0.006680357132242164
0,88,timeline,0.006665785491204267
0,89,friday,0.00664946795402472
0,90,reciprocal tariffs,0.006383376569288471
0,91,reciprocal,0.006383376569288471
0,92,nuclear,0.006344214760401721
0,93,details,0.0062676865743550685
0,94,trillion,0.006262531603817399
0,95,session,0.006205432179461753
0,96,stock,0.006174789318563606
0,97,longest,0.005969841109788084
0,98,dow 500,0.00593068858510101
0,99,going,0.005804817777326529
0,100,law,0.005797233055200284
1,1,futures,0.05025734110412195
1,2,fears,0.049828124625844045
1,3,accenture,0.04300103139092504
1,4,futures slide,0.03644637116450088
1,5,markets,0.03366455336535987
1,6,2025,0.031835687566734196
1,7,costco,0.030244703906219538
1,8,oil,0.029934193580916958
1,9,stock,0.028563628373380154
1,10,market,0.027111359806455532
1,11,zero,0.026933489978365678
1,12,war,0.02676076060216562
1,13,nvidia,0.024824780328722738
1,14,shares,0.02309395550133034
1,15,500,0.022727999394515863
1,16,drops,0.022052079971512605
1,17,earnings,0.021398191533947022
1,18,trade,0.021030479502047228
1,19,survival,0.020911446333124934
1,20,rate drops,0.020911446333124934
1,21,zerohedge long,0.020911446333124934
1,22,timeline survival,0.020911446333124934
1,23,drops zero,0.020911446333124934
1,24,survival rate,0.020911446333124934
1,25,long timeline,0.020911446333124934
1,26,zerohedge,0.020911446333124934
1,27,ai,0.02027883272185998
1,28,long,0.02016472337994248
1,29,amid,0.01847173614356283
1,30,stocks,0.018016633387439064
1,31,tariffs zerohedge,0.017862795789384857
1,32,energy,0.017736444382590467
1,33,flat ahead,0.017560568615790643
1,34,tariff,0.016656259370180414
1,35,timeline,0.01592622105038286
1,36,rate,0.01591414189239573
1,37,nuclear,0.015908268598301883
1,38,recession,0.015584599079814613
1,39,futures flat,0.015495192241101914
1,40,dollar,0.01533989357571106
1,41,gains,0.015035578292503241
1,42,nyse,0.014897287130905311
1,43,liberation,0.013888724021560585
1,44,liberation day,0.013888724021560585
1,45,cost,0.013712000054818265
1,46,today,0.013638665009969474
1,47,risk,0.012514194103265895
1,48,firm,0.012500973801511977
1,49,investors,0.012232353431753166
1,50,tumble trump,0.011871455247920626
1,51,flat,0.011647268298715607
1,52,streak,0.01163874220268578
1,53,loss,0.011431159724864292
1,54,tech,0.011387356373041318
1,55,global,0.011309707514920747
1,56,growth,0.010696420697989432
1,57,near,0.01065764405455604
1,58,day,0.010467405436732195
1,59,dropped,0.010132614071634934
1,60,trading,0.00995212617035314
1,61,optimism,0.009792086256042528
1,62,economy,0.009635092341369096
1,63,tensions,0.009322967423197083
1,64,company announced,0.009145869534834306
1,65,slide,0.009110799475428515
1,66,dow jones,0.009035038973952773
1,67,winning,0.008407236222681424
1,68,jones,0.008386392347978774
1,69,await,0.008132075310333981
1,70,winning streak,0.00812176710270217
1,71,announces,0.008066286112953002
1,72,losses,0.007940027573266823
1,73,apple,0.007837836023543949
1,74,hit,0.00782925968754709
1,75,best,0.00778662496701909
1,76,ahead,0.007668117179033501
1,77,points,0.007651099700009965
1,78,peak,0.007513726279673274
1,79,going,0.007396701566030466
1,80,indexes,0.007363839409373444
1,81,stock today,0.007341521995472069
1,82,know,0.007307317326635318
1,83,dow,0.007131361510427725
1,84,ppi,0.007023069047391587
1,85,look,0.006871929687615121
1,86,report,0.0068335756575381365
1,87,climbing,0.0060362477342895075
1,88,offering,0.0060035341243353255
1,89,jobs,0.005883258918514203
1,90,trade tensions,0.005762931103970695
1,91,uncertainty,0.005762453310896204
1,92,data,0.005636318981601689
1,93,street,0.005618967083004141
1,94,cautious,0.005506213458372704
1,95,cramer,0.005495235157603751
1,96,china trade,0.005468472123371382
1,97,major,0.005412112990145519
1,98,goldman,0.00532973417977728
1,99,goldman sachs,0.00532973417977728
1,100,sachs,0.00532973417977728
2,1,tariffs,0.060043427642140726
2,2,drops,0.058596306543732594
2,3,fears,0.05725742411670194
2,4,shares,0.042779581855832256
2,5,trump,0.038515724839264145
2,6,zero,0.03731030295121729
2,7,day,0.034141448702737796
2,8,cost,0.03271073998567726
2,9,ahead,0.030860187355731046
2,10,war,0.030638355188031936
2,11,energy,0.02739350496906017
2,12,accenture,0.02338734046062078
2,13,dollar,0.023087313083952087
2,14,stock,0.02238883905481651
2,15,nasdaq,0.02236732391379952
2,16,optimism,0.02176251970982238
2,17,tariff,0.021439747813439197
2,18,drops zero,0.020400652356523708
2,19,rate drops,0.020400652356523708
2,20,timeline survival,0.020400652356523708
2,21,survival,0.020400652356523708
2,22,long timeline,0.020400652356523708
2,23,survival rate,0.020400652356523708
2,24,zerohedge,0.020400652356523708
2,25,zerohedge long,0.020400652356523708
2,26,2025,0.02023378682972551
2,27,gains,0.01983661881158169
2,28,economic,0.01878176575453107
2,29,dropped,0.01877373478271689
2,30,winning,0.01865200392324062
2,31,recession,0.017921263459672383
2,32,await,0.01766139424668327
2,33,winning streak,0.017290223156671263
2,34,profit,0.016801535484621825
2,35,company,0.016075961669583094
2,36,earnings,0.015749030611785217
2,37,trump tariff,0.015578200485252809
2,38,announced,0.01546467816860814
2,39,growth,0.01525597816846866
2,40,oil,0.014966412423286796
2,41,economy,0.014774681334658774
2,42,trump tariffs,0.014418774239896012
2,43,dow,0.01403250067153821
2,44,costco,0.013937782955035859
2,45,reportedly,0.013448274888224082
2,46,plunge,0.01321601268868236
2,47,futures,0.01288834065942648
2,48,markets,0.012651890178012118
